login_username,status,franchise_name,franchise_slug,note
ExContonment,NO_FRANCHISE_ROW,,,No centre record in database
Fairlands,OK,Fairlands,fairlands-timekidspreschools-com,
Farida,NO_FRANCHISE_ROW,,,No centre record in database
flmlogin,NO_FRANCHISE_ROW,,,No centre record in database
flmlogin1,NO_FRANCHISE_ROW,,,No centre record in database
Fursungi,NO_FRANCHISE_ROW,,,No centre record in database
ganapathy,OK,Ganapathy,ganapathy-timekidspreschools-com,
Gandhigramam,NO_FRANCHISE_ROW,,,No centre record in database
Gandhinagar,NO_FRANCHISE_ROW,,,No centre record in database
Gandhinagar_Siliguri,NO_FRANCHISE_ROW,,,No centre record in database
Ganesh,NO_FRANCHISE_ROW,,,No centre record in database
GangaNagar,NO_FRANCHISE_ROW,,,No centre record in database
gaurav,NO_FRANCHISE_ROW,,,No centre record in database
Gauthammenon,NO_FRANCHISE_ROW,,,No centre record in database
george,NO_FRANCHISE_ROW,,,No centre record in database
Georgetown,NO_FRANCHISE_ROW,,,No centre record in database
Gerugambakkam,OK,Gerugambakkam,gerugambakkamchn-timekidspreschools-com,
GNMills,OK,G.N.Mills,gnmillscbe-timekidspreschools-com,
gobichettypalya,NO_FRANCHISE_ROW,,,No centre record in database
gobichettypalyam,NO_FRANCHISE_ROW,,,No centre record in database
GodhaniRoad,NO_FRANCHISE_ROW,,,No centre record in database
GokulPlots,NO_FRANCHISE_ROW,,,No centre record in database
GolaRoad,OK,Gola Road,golaroad-timekidspreschools-com,
Gollahalli,OK,Gollahalli,gollahalli1-timekidspreschools-com,
Gollahalli_New,OK,Gollahalli,gollahalli1-timekidspreschools-com,
Gomathipuram,OK,Panampilly Nagar,panampillynagar-timekidspreschools-com,
Goshamahal,OK,Goshamahal,goshamahal-timekidspreschools-com,
Gottigere,NO_FRANCHISE_ROW,,,No centre record in database
Gottigere1,NO_FRANCHISE_ROW,,,No centre record in database
Gouravkumar,NO_FRANCHISE_ROW,,,No centre record in database
Govindhapuram,NO_FRANCHISE_ROW,,,No centre record in database
Gunjan,NO_FRANCHISE_ROW,,,No centre record in database
gurjeet,NO_FRANCHISE_ROW,,,No centre record in database
GuruNanakNagar,NO_FRANCHISE_ROW,,,No centre record in database
Habsiguda,NO_FRANCHISE_ROW,,,No centre record in database
hadapsar,NO_FRANCHISE_ROW,,,No centre record in database
Hanumanthnagar,OK,Hanumanthanagar,hunumanthnagar-timekidspreschools-com,
Haripad,OK,Haripad,haripad-timekidspreschools-com,
harshit,NO_FRANCHISE_ROW,,,No centre record in database
HBRLayout,NO_FRANCHISE_ROW,,,No centre record in database
Hebbagodi,NO_FRANCHISE_ROW,,,No centre record in database
highcourt,OK,High Court,highcourt-timekidspreschools-com,
Hindwadi,NO_FRANCHISE_ROW,,,No centre record in database
HMTColony,OK,"HMT Colony, Miyapur",hmtcolony-timekidspreschools-com,
hmtjunction,OK,"HMT Junction, North Kalamssery",hmtjunction-timekidspreschools-com,
Hongasandra,OK,Hongasandra,hongansandra-timekidspreschools-com,
Horamavu,OK,Horamavu,horamavu-timekidspreschools-com,
Horamavu_New,OK,Horamavu,horamavu-timekidspreschools-com,
hoskote,NO_FRANCHISE_ROW,,,No centre record in database
HousingBoard,NO_FRANCHISE_ROW,,,No centre record in database
HowrahMaidan,NO_FRANCHISE_ROW,,,No centre record in database
HSRLayout,NO_FRANCHISE_ROW,,,No centre record in database
Hussain,NO_FRANCHISE_ROW,,,No centre record in database
HYNK9009,NO_FRANCHISE_ROW,,,No centre record in database
indiranagar,NO_FRANCHISE_ROW,,,No centre record in database
indiranagarsectorc,NO_FRANCHISE_ROW,,,No centre record in database
Indranagar,OK,Indra Nagar,sivagangai-timekidspreschools-com,
Infopark,OK,Infopark,infopark-timekidspreschools-com,
Irumbulyur,NO_FRANCHISE_ROW,,,No centre record in database
Irumpanam,NO_FRANCHISE_ROW,,,No centre record in database
jadavpur,NO_FRANCHISE_ROW,,,No centre record in database
Jagityal,NO_FRANCHISE_ROW,,,No centre record in database
jaipurPratapnagar,NO_FRANCHISE_ROW,,,No centre record in database
jalpa,NO_FRANCHISE_ROW,,,No centre record in database
jawaharnagar,NO_FRANCHISE_ROW,,,No centre record in database
Jayanagar1stBlock,NO_FRANCHISE_ROW,,,No centre record in database
Jayanagar3rdBlock,NO_FRANCHISE_ROW,,,No centre record in database
jayanthid,NO_FRANCHISE_ROW,,,No centre record in database
jayaraj,NO_FRANCHISE_ROW,,,No centre record in database
Jayashreeiyer,NO_FRANCHISE_ROW,,,No centre record in database
jayesh,NO_FRANCHISE_ROW,,,No centre record in database
Jibinvm,NO_FRANCHISE_ROW,,,No centre record in database
Joejospeh,NO_FRANCHISE_ROW,,,No centre record in database
JoggersPark,OK,jogger,joggerspark-timekidspreschools-com,
JPNagar_bang,OK,J. P. Nagar 9th Phase,jpnagar9thphase-timekidspreschools-com,
JPNagar9thPhase,OK,J. P. Nagar 9th Phase,jpnagar9thphase-timekidspreschools-com,
JudicialLayout,OK,Judicial Layout,judiciallayout1-timekidspreschools-com,
JudicialLayout_New,OK,Judicial Layout,judiciallayout1-timekidspreschools-com,
julianbharath,NO_FRANCHISE_ROW,,,No centre record in database
JyothiNagar,NO_FRANCHISE_ROW,,,No centre record in database
kadugodi,OK,Kadugodi,kadugodi-timekidspreschools-com,
Kaduthuruthy,OK,Kaduthuruthy,kaduthuruthy-timekidspreschools-com,
Kaggadasapura,NO_FRANCHISE_ROW,,,No centre record in database
kakkanad,OK,Kakkanad,kakkanad-timekidspreschools-com,
Kalady,OK,Kalady,kalady-timekidspreschools-com,
Kalamassery,OK,Edapally Toll,kalamassery-timekidspreschools-com,
Kalathukal,NO_FRANCHISE_ROW,,,No centre record in database
KaliarangamStreet,NO_FRANCHISE_ROW,,,No centre record in database
kalkere,NO_FRANCHISE_ROW,,,No centre record in database
Kalluvathukkal,OK,Kalluvathukkal,kalluvathukkal-timekidspreschools-com,
kaloor,OK,Kaloor,kaloor-timekidspreschools-com,
KalyaniVenkat,NO_FRANCHISE_ROW,,,No centre record in database
kalyannagar,NO_FRANCHISE_ROW,,,No centre record in database
KamakotiNagar,OK,Pallikaranai,kamakotinagar-timekidspreschools-com,
Kamakshipalya,OK,Kamakshipalya,kamakshipalya-timekidspreschools-com,
KamarajaNagar,NO_FRANCHISE_ROW,,,No centre record in database
Kanhangad,OK,Kanhangad,kanhangad-timekidspreschools-com,
Kaniyampuzha,OK,Kaniyampuzha,kaniyampuzha-timekidspreschools-com,
Kaniyapuram,OK,Kazhakkoottam,Kazhakkoottam-timekidspreschools-com,
Kannammoola,NO_FRANCHISE_ROW,,,No centre record in database
Karamana,OK,Karamana,tkkaramana-timekidspreschools-com,
Karamana_New,OK,Karamana,tkkaramana-timekidspreschools-com,
Karimanoor,NO_FRANCHISE_ROW,,,No centre record in database
Karimugal,NO_FRANCHISE_ROW,,,No centre record in database
Karinadmello,NO_FRANCHISE_ROW,,,No centre record in database
Karumalloor,OK,Karumalloor,karumalloor-timekidspreschools-com,
Karumallor,NO_FRANCHISE_ROW,,,No centre record in database
Karumuthampatty,NO_FRANCHISE_ROW,,,No centre record in database
karvenagar,NO_FRANCHISE_ROW,,,No centre record in database
kasturinagar,NO_FRANCHISE_ROW,,,No centre record in database
KatolRoad,NO_FRANCHISE_ROW,,,No centre record in database
Kattur,NO_FRANCHISE_ROW,,,No centre record in database
KaveriNagar,NO_FRANCHISE_ROW,,,No centre record in database
KavuriHills,NO_FRANCHISE_ROW,,,No centre record in database
Kazhakootam,NO_FRANCHISE_ROW,,,No centre record in database
Keelkattalai,OK,Keelkattalai,keelkattalai-timekidspreschools-com,
Keeranur,OK,Keeranur Road,keeranur-timekidspreschools-com,
Kelambakkam,OK,Kelambakkam,kelambakkam-timekidspreschools-com,
Kesanandrd,NO_FRANCHISE_ROW,,,No centre record in database
Kesanandroad,NO_FRANCHISE_ROW,,,No centre record in database
Keshavnagar,NO_FRANCHISE_ROW,,,No centre record in database
Kestopur,OK,Kestopur,kestopur-timekidspreschools-com,
KhadiColony,NO_FRANCHISE_ROW,,,No centre record in database
KhagaulRoad,OK,Khagaul Road,danapur-timekidspreschools-com,
Khajaguda,NO_FRANCHISE_ROW,,,No centre record in database
Kharadi,NO_FRANCHISE_ROW,,,No centre record in database
Kharadi_New,NO_FRANCHISE_ROW,,,No centre record in database
Kharalwadi,NO_FRANCHISE_ROW,,,No centre record in database
Khardaha,OK,Khardaha,khardaha-timekidspreschools-com,
Kilpauk,OK,Kilpauk,kilpauk-timekidspreschools-com,
Kitaganur,OK,Kitaganur,kithaganur-timekidspreschools-com,
Kiwale,NO_FRANCHISE_ROW,,,No centre record in database
Kizhakkambalam,NO_FRANCHISE_ROW,,,No centre record in database
kknagar,NO_FRANCHISE_ROW,,,No centre record in database
KKPudur,OK,K K Pudur,kkpudur-timekidspreschools-com,
Kodambakkam,NO_FRANCHISE_ROW,,,No centre record in database
kodigahalli,OK,Kodigehalli,kodigehalli-timekidspreschools-com,
Kodungallur,OK,kodungallur,tkkodungallur-timekidspreschools-com,
Kodungallur_New,OK,kodungallur,tkkodungallur-timekidspreschools-com,
kokids,NO_FRANCHISE_ROW,,,No centre record in database
Kolathur,NO_FRANCHISE_ROW,,,No centre record in database
Kolenchery,OK,Kolenchery,tkkolenchery-timekidspreschools-com,
Kolenchery_New,OK,Kolenchery,tkkolenchery-timekidspreschools-com,
Kompally,NO_FRANCHISE_ROW,,,No centre record in database
KONDAPUR,NO_FRANCHISE_ROW,,,No centre record in database
kongad,OK,Kongad,kongad-timekidspreschools-com,
Koothanallur,NO_FRANCHISE_ROW,,,No centre record in database
Koothatakulam,OK,Koothatakulam,koothatakulam-timekidspreschools-com,
Koottanad,OK,Koottanad,koottanad-timekidspreschools-com,
Koratty,OK,Koratty,koratty-timekidspreschools-com,
kothamangalam,NO_FRANCHISE_ROW,,,No centre record in database
Kothamangalam_New,NO_FRANCHISE_ROW,,,No centre record in database
Kothapet,NO_FRANCHISE_ROW,,,No centre record in database
Kottapuram,OK,Kottapuram,ktpm-timekidspreschools-com,
Kottarakara,NO_FRANCHISE_ROW,,,No centre record in database
Kottiyam,NO_FRANCHISE_ROW,,,No centre record in database
Kovaipudur,OK,Kovaipudur,kovaipudur-timekidspreschools-com,
Kovur,NO_FRANCHISE_ROW,,,No centre record in database
KrishnaNagar,OK,Krishna Nagar,krishnanagarguntur-timekidspreschools-com,
KRPuram,NO_FRANCHISE_ROW,,,No centre record in database
kudlu,NO_FRANCHISE_ROW,,,No centre record in database
Kumarapuram,NO_FRANCHISE_ROW,,,No centre record in database
kundanahalli,NO_FRANCHISE_ROW,,,No centre record in database
Kundara,NO_FRANCHISE_ROW,,,No centre record in database
kundhanahalli,NO_FRANCHISE_ROW,,,No centre record in database
Kundrathur,NO_FRANCHISE_ROW,,,No centre record in database
Kunnamkulam,NO_FRANCHISE_ROW,,,No centre record in database
kunnumpuram,NO_FRANCHISE_ROW,,,No centre record in database
Kuntloor,OK,Kuntloor,kuntloor-timekidspreschools-com,
Kusumagiri,NO_FRANCHISE_ROW,,,No centre record in database
Laggere,NO_FRANCHISE_ROW,,,No centre record in database
Laketown,NO_FRANCHISE_ROW,,,No centre record in database
Lalit,NO_FRANCHISE_ROW,,,No centre record in database
LaxminagarRavet,NO_FRANCHISE_ROW,,,No centre record in database
LDAColony,NO_FRANCHISE_ROW,,,No centre record in database
Lincy,NO_FRANCHISE_ROW,,,No centre record in database
Maalam,OK,Maalam,maalam-timekidspreschools-com,
Madabakkam,NO_FRANCHISE_ROW,,,No centre record in database
Madambakkam,OK,Madambakkam Junction,camproad-timekidspreschools-com,
Madanada,NO_FRANCHISE_ROW,,,No centre record in database
Madhabnagar,NO_FRANCHISE_ROW,,,No centre record in database
MadhuraNagar,NO_FRANCHISE_ROW,,,No centre record in database
Madhurawada,OK,Madhurawada,madhurawada-vizag-timekidspreschools-com,
madiapakkam,NO_FRANCHISE_ROW,,,No centre record in database
Madinaguda,NO_FRANCHISE_ROW,,,No centre record in database
maduraibyepassroad,NO_FRANCHISE_ROW,,,No centre record in database
maduraikknagar,NO_FRANCHISE_ROW,,,No centre record in database
Magarpatta,NO_FRANCHISE_ROW,,,No centre record in database
Mahadevwadi,NO_FRANCHISE_ROW,,,No centre record in database
mahalakshmipuram,NO_FRANCHISE_ROW,,,No centre record in database
Mahalunge,NO_FRANCHISE_ROW,,,No centre record in database
Mahanagar,NO_FRANCHISE_ROW,,,No centre record in database
Mahender,NO_FRANCHISE_ROW,,,No centre record in database
Maheswari,NO_FRANCHISE_ROW,,,No centre record in database
mahidhar,NO_FRANCHISE_ROW,,,No centre record in database
mainakchandra,NO_FRANCHISE_ROW,,,No centre record in database
malasiantownship,NO_FRANCHISE_ROW,,,No centre record in database
malkajgiri,NO_FRANCHISE_ROW,,,No centre record in database
Malkajgiri_New,NO_FRANCHISE_ROW,,,No centre record in database
Mamala,NO_FRANCHISE_ROW,,,No centre record in database
mamangalam,NO_FRANCHISE_ROW,,,No centre record in database
manasarovar,OK,Manasarovar Heights,mansarovarheights-timekidspreschools-com,
Manikonda,NO_FRANCHISE_ROW,,,No centre record in database
Manjummel,OK,Manjummel,manjummel-timekidspreschools-com,
Mannarkkad,OK,Mannarkkad,mannarkkad-timekidspreschools-com,
maple,OK,Kakkanad,kakkanad-timekidspreschools-com,
Maradu,OK,Maradu,tkmaradu-timekidspreschools-com,
Maradu_New,OK,Maradu,tkmaradu-timekidspreschools-com,
MarathaColony,NO_FRANCHISE_ROW,,,No centre record in database
maredpally,NO_FRANCHISE_ROW,,,No centre record in database
mariananpalya,NO_FRANCHISE_ROW,,,No centre record in database
Marispeta,NO_FRANCHISE_ROW,,,No centre record in database
MaruthiSevaNagar,NO_FRANCHISE_ROW,,,No centre record in database
Mathigiri,OK,Mathigiri,rknagarhosur-timekidspreschools-com,
Mathikere,NO_FRANCHISE_ROW,,,No centre record in database
mavelikara,NO_FRANCHISE_ROW,,,No centre record in database
Medavakkam,OK,Medavakkam,medavakkam1-timekidspreschools-com,
Medavakkam_New,OK,Medavakkam,medavakkam1-timekidspreschools-com,
Medchal,OK,Medchal,medchal-timekidspreschools-com,
MedicalCollege,NO_FRANCHISE_ROW,,,No centre record in database
MEGALPET,NO_FRANCHISE_ROW,,,No centre record in database
Miyapur,OK,Miyapur,miyapurhyd-timekidspreschools-com,
Miyapur_New,OK,Miyapur,miyapurhyd-timekidspreschools-com,
mkknagar,NO_FRANCHISE_ROW,,,No centre record in database
Mokila,OK,Mokila,mokila-timekidspreschools-com,
MolletiTeja,NO_FRANCHISE_ROW,,,No centre record in database
Moosapet,NO_FRANCHISE_ROW,,,No centre record in database
Moosarambagh,OK,Moosarambagh,moosarambagh-timekidspreschools-com,
Motelchhak,NO_FRANCHISE_ROW,,,No centre record in database
motinagar,NO_FRANCHISE_ROW,,,No centre record in database
MotiNagarhyd,NO_FRANCHISE_ROW,,,No centre record in database
Mudichur,OK,Mudichur,mudichur-timekidspreschools-com,
Mudukulathur,NO_FRANCHISE_ROW,,,No centre record in database
Mugalivakkam,NO_FRANCHISE_ROW,,,No centre record in database
Mukkola,NO_FRANCHISE_ROW,,,No centre record in database
mulanthuruthy,OK,Mulanthuruthy,tkmulanthuruthy-timekidspreschools-com,
